timestamp,CA-ON,US-NY,GB
1/29/23 17:00,64.81047795,217.3136753,159.5092919
1/29/23 18:00,71.52535778,216.8908129,164.3704548
1/29/23 19:00,75.77320058,215.1776326,157.9024141
1/29/23 20:00,77.15343695,222.0045798,146.2266378
1/29/23 21:00,81.54972628,229.7988008,123.570792
1/29/23 22:00,80.92188994,228.609235,110.180818
1/29/23 23:00,84.71396032,240.7044177,98.76785133
1/30/23 0:00,98.09173721,242.3929418,98.5369262
1/30/23 1:00,89.64354613,243.4078736,104.0886665
1/30/23 2:00,85.13612495,243.7036488,94.49189064
1/30/23 3:00,78.50661757,238.669182,96.4269335
1/30/23 4:00,66.89829621,225.1911326,99.8490825
1/30/23 5:00,63.97529904,217.3349878,104.8789734
1/30/23 6:00,65.41555338,222.2438486,149.612649
1/30/23 7:00,67.58076593,224.1831444,199.3213388
1/30/23 8:00,67.84114166,222.0512598,219.1302347
1/30/23 9:00,70.31514584,221.3738129,217.8814891
1/30/23 10:00,81.23705023,227.3721687,206.6290802
1/30/23 11:00,89.84144756,240.3294173,196.2370903
1/30/23 12:00,95.20406713,247.9217522,200.2139178
1/30/23 13:00,115.9023578,258.0064275,216.7072384
1/30/23 14:00,119.1672357,259.6105372,241.5271244
1/30/23 15:00,122.440324,257.4704529,266.3645501
1/30/23 16:00,123.6015793,254.32567,272.0704748
1/30/23 17:00,114.1998879,247.8252283,279.3955157
1/30/23 18:00,107.5380826,247.1876219,273.3773041
1/30/23 19:00,100.654637,246.8961702,267.6111866
1/30/23 20:00,104.9627474,248.232364,259.9878803
1/30/23 21:00,99.84325857,253.759994,237.6824995
1/30/23 22:00,97.94870327,258.0525999,210.5307211
1/30/23 23:00,105.3704737,264.4905524,148.5595547
1/31/23 0:00,108.7307071,269.711435,123.5441353
1/31/23 1:00,96.7408134,263.1521947,114.6530608
1/31/23 2:00,89.99322552,257.5384432,111.4141604
1/31/23 3:00,84.15721753,252.6829315,103.3041661
1/31/23 4:00,64.04507998,247.9599094,98.61587536
1/31/23 5:00,56.74775441,239.686756,108.7471218
1/31/23 6:00,60.11940707,231.1192198,140.6193383
1/31/23 7:00,65.37621928,221.3318245,179.8336425
1/31/23 8:00,66.45910599,221.3280448,185.0011084
1/31/23 9:00,69.28062469,224.3511555,181.3865909
1/31/23 10:00,73.71119164,231.3862633,175.1991443
1/31/23 11:00,80.02014297,245.5847123,156.3130551
1/31/23 12:00,87.37006083,253.6200975,145.395864
